Flow,Feces
0.021800546,0.02
0.022674211,0.003
0.021016039,0.003
0.023511895,0.0005
0.022416925,0.0025
0.029647052,0.0125
0.044717906,0.06
0.046869709,0.195
0.052463574,0.175
0.062957436,0.1025
0.058802619,0.0775
0.06653724,0.055
0.065685601,0.025
0.052247945,0.035
0.064976923,0.0325
0.05156406,0.025
0.044171937,0.0325
0.042030595,0.0225
0.039872454,0.0425
0.03747644,0.04
0.036786525,0.025
0.034971885,0.0175
0.032992591,0.02
0.023841228,0.0175
